code,name,market,close,volume,trade_value,turnover,short_used_ratio,margin_used_ratio
00985B,群益ESG投等債0-5,TWSE,10.32,10028266.0,103429543.0,0.0,0.0,0.0
00986A,主動台新龍頭成長,TWSE,12.22,798054.0,9763925.0,0.0,0.0,0.0
00987A,主動台新優勢成長,TWSE,10.7,6411538.0,68680130.0,0.0,0.0,0.0
00988A,主動統一全球創新,TWSE,12.0,19755188.0,236951728.0,0.0,0.0,0.0
00989A,主動摩根美國科技,TWSE,14.41,2369689.0,34172250.0,0.0,0.0,0.0
00990A,主動元大AI新經濟,TWSE,11.67,27724206.0,323237126.0,0.0,0.0,0.0
00991A,主動復華未來50,TWSE,12.06,73662352.0,882186767.0,0.0,0.0,0.0
00992A,主動群益科技創新,TWSE,11.91,29845422.0,354404177.0,0.0,0.0,0.0
00993A,主動安聯台灣,TWSE,10.1,74017428.0,746236987.0,0.0,0.0,0.0
00994A,主動第一金台股優,TWSE,11.34,3885860.0,43777193.0,0.0,0.0,0.0
00995A,主動中信台灣卓越,TWSE,10.94,11170125.0,121793510.0,0.0,0.0,0.0
01001T,土銀富邦R1,TWSE,11.88,66000.0,779140.0,0.0,0.0,0.0
01002T,土銀國泰R1,TWSE,14.64,75100.0,1091164.0,0.0,0.0,0.0
01004T,土銀富邦R2,TWSE,11.01,60000.0,660720.0,0.0,0.0,0.0
01007T,兆豐國泰R2,TWSE,13.6,23050.0,313447.0,0.0,0.0,0.0
01009T,王道圓滿R1,TWSE,5.61,868170.0,4871350.0,0.0,0.0,0.0
01010T,京城樂富R1,TWSE,10.05,36000.0,361250.0,0.0,0.0,0.0
020000,富邦特選蘋果N,TWSE,0.0,0.0,0.0,0.0,0.0,0.0
020011,統一微波高息20N,TWSE,0.0,0.0,0.0,0.0,0.0,0.0
020012,富邦行動通訊N,TWSE,0.0,0.0,0.0,0.0,0.0,0.0
02001L,富邦蘋果正二N,TWSE,64.45,57000.0,3624750.0,0.0,0.0,0.0
02001R,富邦蘋果反一N,TWSE,0.75,246000.0,185660.0,0.0,0.0,0.0
020020,元大台股領航N,TWSE,18.08,18000.0,322890.0,0.0,0.0,0.0
020028,元大特選電動車N,TWSE,14.07,59000.0,826320.0,0.0,0.0,0.0
020029,元大ESG高股息N,TWSE,10.7,24000.0,255930.0,0.0,0.0,0.0
020030,統一智慧電動車N,TWSE,10.4,18000.0,187060.0,0.0,0.0,0.0
020031,統一IC設計臺灣N,TWSE,6.74,13000.0,87220.0,0.0,0.0,0.0
020032,元大綠能N,TWSE,8.55,21000.0,178950.0,0.0,0.0,0.0
020034,元大IC設計N,TWSE,8.58,34000.0,291480.0,0.0,0.0,0.0
020036,元大金融配息N,TWSE,0.0,0.0,0.0,0.0,0.0,0.0
020037,元大金融高股息N,TWSE,8.72,8000.0,69310.0,0.0,0.0,0.0
020038,元大ESG配息N,TWSE,8.26,37000.0,305910.0,0.0,0.0,0.0
020039,元大加權N,TWSE,10.63,186000.0,1975400.0,0.0,0.0,0.0
1101,台泥,TWSE,25.8,23085917.0,597686422.0,0.0,0.0,0.0
1101B,台泥乙特,TWSE,45.35,6163.0,279162.0,0.0,0.0,0.0
1102,亞泥,TWSE,35.65,10580476.0,377801880.0,0.0,0.0,0.0
1103,嘉泥,TWSE,14.05,313245.0,4381366.0,0.0,0.0,0.0
1104,環泥,TWSE,29.5,1069578.0,31767928.0,0.0,0.0,0.0
1108,幸福,TWSE,15.15,172594.0,2614276.0,0.0,0.0,0.0
1109,信大,TWSE,15.45,214265.0,3297049.0,0.0,0.0,0.0
1110,東泥,TWSE,16.4,169070.0,2778499.0,0.0,0.0,0.0
1201,味全,TWSE,14.45,206854.0,2999515.0,0.0,0.0,0.0
1203,味王,TWSE,40.1,43509.0,1740139.0,0.0,0.0,0.0
1210,大成,TWSE,51.4,1552621.0,79625313.0,0.0,0.0,0.0
1213,大飲,TWSE,9.78,10496.0,103928.0,0.0,0.0,0.0
1215,卜蜂,TWSE,148.5,665609.0,98988701.0,0.0,0.0,0.0
1216,統一,TWSE,73.4,7586516.0,557949852.0,0.0,0.0,0.0
1217,愛之味,TWSE,10.55,903667.0,9477881.0,0.0,0.0,0.0
1218,泰山,TWSE,18.2,343076.0,6224939.0,0.0,0.0,0.0
1219,福壽,TWSE,13.55,423845.0,5726556.0,0.0,0.0,0.0
1220,台榮,TWSE,13.05,417155.0,5420950.0,0.0,0.0,0.0
1225,福懋油,TWSE,28.85,103033.0,2967280.0,0.0,0.0,0.0
1227,佳格,TWSE,29.45,1239920.0,36463265.0,0.0,0.0,0.0
1229,聯華,TWSE,45.35,1535362.0,69563373.0,0.0,0.0,0.0
1231,聯華食,TWSE,93.5,332817.0,30976393.0,0.0,0.0,0.0
1232,大統益,TWSE,149.5,173412.0,25812399.0,0.0,0.0,0.0
1233,天仁,TWSE,32.3,22070.0,711909.0,0.0,0.0,0.0
1234,黑松,TWSE,37.15,172244.0,6377163.0,0.0,0.0,0.0
1235,興泰,TWSE,40.95,49833.0,2096654.0,0.0,0.0,0.0
1236,宏亞,TWSE,26.3,53452.0,1401302.0,0.0,0.0,0.0
1256,鮮活果汁-KY,TWSE,159.5,71508.0,11297709.0,0.0,0.0,0.0
1301,台塑,TWSE,46.5,22737416.0,1055881150.0,0.0,0.0,0.0
1303,南亞,TWSE,78.8,132612576.0,10342852039.0,0.0,0.0,0.0
1304,台聚,TWSE,11.7,3941097.0,45898434.0,0.0,0.0,0.0
1305,華夏,TWSE,11.9,1986513.0,23614895.0,0.0,0.0,0.0
1307,三芳,TWSE,33.0,5792378.0,193003616.0,0.0,0.0,0.0
